DDL Definition,.Name,.DBTypeName,.Nullable,.DecimalSize,.Length,.ScanType
t_0 BIT,t_0,BIT,false,-,-,sql.RawBytes
t_1 BIT (8),t_1,BIT,true,-,-,sql.RawBytes
t_2 TINYINT,t_2,TINYINT,true,-,-,sql.NullInt64
t_3 TINYINT UNSIGNED,t_3,TINYINT,true,-,-,sql.NullInt64
t_4 BOOL,t_4,TINYINT,true,-,-,sql.NullInt64
t_5 BOOLEAN,t_5,TINYINT,true,-,-,sql.NullInt64
t_6 SMALLINT,t_6,SMALLINT,true,-,-,sql.NullInt64
t_7 SMALLINT UNSIGNED,t_7,SMALLINT,true,-,-,sql.NullInt64
t_8 MEDIUMINT,t_8,MEDIUMINT,true,-,-,sql.NullInt64
t_9 MEDIUMINT UNSIGNED,t_9,MEDIUMINT,true,-,-,sql.NullInt64
t_10 INT,t_10,INT,true,-,-,sql.NullInt64
t_11 INT UNSIGNED,t_11,INT,true,-,-,sql.NullInt64
t_12 INTEGER,t_12,INT,true,-,-,sql.NullInt64
t_13 INTEGER UNSIGNED,t_13,INT,true,-,-,sql.NullInt64
t_14 BIGINT,t_14,BIGINT,true,-,-,sql.NullInt64
t_15 BIGINT UNSIGNED,t_15,BIGINT,true,-,-,sql.NullInt64
t_16 DECIMAL,t_16,DECIMAL,true,"(10,0)",-,sql.RawBytes
t_17 DECIMAL UNSIGNED,t_17,DECIMAL,true,"(9,0)",-,sql.RawBytes
"t_18 DECIMAL (8,4)",t_18,DECIMAL,true,"(8,4)",-,sql.RawBytes
"t_19 DECIMAL (8,4) UNSIGNED",t_19,DECIMAL,true,"(7,4)",-,sql.RawBytes
t_20 DEC,t_20,DECIMAL,true,"(10,0)",-,sql.RawBytes
t_21 DEC UNSIGNED,t_21,DECIMAL,true,"(9,0)",-,sql.RawBytes
"t_22 DEC (8,4)",t_22,DECIMAL,true,"(8,4)",-,sql.RawBytes
"t_23 DEC (8,4) UNSIGNED",t_23,DECIMAL,true,"(7,4)",-,sql.RawBytes
t_24 NUMERIC,t_24,DECIMAL,true,"(10,0)",-,sql.RawBytes
t_25 NUMERIC UNSIGNED,t_25,DECIMAL,true,"(9,0)",-,sql.RawBytes
"t_26 NUMERIC (8,4)",t_26,DECIMAL,true,"(8,4)",-,sql.RawBytes
"t_27 NUMERIC (8,4) UNSIGNED",t_27,DECIMAL,true,"(7,4)",-,sql.RawBytes
t_28 FIXED,t_28,DECIMAL,true,"(10,0)",-,sql.RawBytes
t_29 FIXED UNSIGNED,t_29,DECIMAL,true,"(9,0)",-,sql.RawBytes
"t_30 FIXED (8,4)",t_30,DECIMAL,true,"(8,4)",-,sql.RawBytes
"t_31 FIXED (8,4) UNSIGNED",t_31,DECIMAL,true,"(7,4)",-,sql.RawBytes
t_32 FLOAT,t_32,FLOAT,true,"(MaxInt64,MaxInt64)",-,sql.NullFloat64
"t_33 FLOAT (5,2)",t_33,FLOAT,true,"(MaxInt64,2)",-,sql.NullFloat64
"t_34 FLOAT (100,30)",t_34,FLOAT,true,"(MaxInt64,30)",-,sql.NullFloat64
t_35 FLOAT UNSIGNED,t_35,FLOAT,true,"(MaxInt64,MaxInt64)",-,sql.NullFloat64
"t_36 FLOAT (5,2) UNSIGNED",t_36,FLOAT,true,"(MaxInt64,2)",-,sql.NullFloat64
"t_37 FLOAT (100,30) UNSIGNED",t_37,FLOAT,true,"(MaxInt64,30)",-,sql.NullFloat64
t_38 DOUBLE,t_38,DOUBLE,true,"(MaxInt64,MaxInt64)",-,sql.NullFloat64
"t_39 DOUBLE (5,2)",t_39,DOUBLE,true,"(MaxInt64,2)",-,sql.NullFloat64
"t_40 DOUBLE (100,30)",t_40,DOUBLE,true,"(MaxInt64,30)",-,sql.NullFloat64
t_41 DOUBLE UNSIGNED,t_41,DOUBLE,true,"(MaxInt64,MaxInt64)",-,sql.NullFloat64
"t_42 DOUBLE (5,2) UNSIGNED",t_42,DOUBLE,true,"(MaxInt64,2)",-,sql.NullFloat64
"t_43 DOUBLE (100,30) UNSIGNED",t_43,DOUBLE,true,"(MaxInt64,30)",-,sql.NullFloat64
t_44 DOUBLE PRECISION,t_44,DOUBLE,true,"(MaxInt64,MaxInt64)",-,sql.NullFloat64
"t_45 DOUBLE PRECISION (5,2)",t_45,DOUBLE,true,"(MaxInt64,2)",-,sql.NullFloat64
"t_46 DOUBLE PRECISION (100,30)",t_46,DOUBLE,true,"(MaxInt64,30)",-,sql.NullFloat64
t_47 DOUBLE PRECISION UNSIGNED,t_47,DOUBLE,true,"(MaxInt64,MaxInt64)",-,sql.NullFloat64
"t_48 DOUBLE PRECISION (5,2) UNSIGNED",t_48,DOUBLE,true,"(MaxInt64,2)",-,sql.NullFloat64
"t_49 DOUBLE PRECISION (100,30) UNSIGNED",t_49,DOUBLE,true,"(MaxInt64,30)",-,sql.NullFloat64
t_50 REAL,t_50,DOUBLE,true,"(MaxInt64,MaxInt64)",-,sql.NullFloat64
"t_51 REAL (5,2)",t_51,DOUBLE,true,"(MaxInt64,2)",-,sql.NullFloat64
"t_52 REAL (100,30)",t_52,DOUBLE,true,"(MaxInt64,30)",-,sql.NullFloat64
t_53 REAL UNSIGNED,t_53,DOUBLE,true,"(MaxInt64,MaxInt64)",-,sql.NullFloat64
"t_54 REAL (5,2) UNSIGNED",t_54,DOUBLE,true,"(MaxInt64,2)",-,sql.NullFloat64
"t_55 REAL (100,30) UNSIGNED",t_55,DOUBLE,true,"(MaxInt64,30)",-,sql.NullFloat64
t_56 FLOAT (10),t_56,FLOAT,true,"(MaxInt64,MaxInt64)",-,sql.NullFloat64
t_57 FLOAT (30),t_57,DOUBLE,true,"(MaxInt64,MaxInt64)",-,sql.NullFloat64
t_58 FLOAT (10) UNSIGNED,t_58,FLOAT,true,"(MaxInt64,MaxInt64)",-,sql.NullFloat64
t_59 FLOAT (30) UNSIGNED,t_59,DOUBLE,true,"(MaxInt64,MaxInt64)",-,sql.NullFloat64
t_60 DATE,t_60,DATE,true,-,-,mysql.NullTime
t_61 DATETIME,t_61,DATETIME,true,"(0,0)",-,mysql.NullTime
t_62 TIME,t_62,TIME,true,"(0,0)",-,sql.RawBytes
t_63 YEAR,t_63,YEAR,true,-,-,sql.NullInt64
t_64 YEAR (4),t_64,YEAR,true,-,-,sql.NullInt64
t_65 CHAR,t_65,CHAR,true,-,-,sql.RawBytes
t_66 CHAR (8),t_66,CHAR,true,-,-,sql.RawBytes
t_67 VARCHAR (8),t_67,VARCHAR,true,-,-,sql.RawBytes
t_68 BINARY,t_68,BINARY,true,-,-,sql.RawBytes
t_69 BINARY (8),t_69,BINARY,true,-,-,sql.RawBytes
t_70 VARBINARY (8),t_70,VARBINARY,true,-,-,sql.RawBytes
t_71 TINYBLOB,t_71,BLOB,true,-,-,sql.RawBytes
t_72 BLOB,t_72,BLOB,true,-,-,sql.RawBytes
t_73 BLOB (8),t_73,BLOB,true,-,-,sql.RawBytes
t_74 MEDIUMBLOB,t_74,BLOB,true,-,-,sql.RawBytes
t_75 LONGBLOB,t_75,BLOB,true,-,-,sql.RawBytes
t_76 TINYTEXT,t_76,TEXT,true,-,-,sql.RawBytes
t_77 TEXT,t_77,TEXT,true,-,-,sql.RawBytes
t_78 TEXT (8),t_78,TEXT,true,-,-,sql.RawBytes
t_79 MEDIUMTEXT,t_79,TEXT,true,-,-,sql.RawBytes
t_80 LONGTEXT,t_80,TEXT,true,-,-,sql.RawBytes
t_81 LONG,t_81,TEXT,true,-,-,sql.RawBytes
t_82 LONG VARCHAR,t_82,TEXT,true,-,-,sql.RawBytes
"t_83 ENUM ('a','b','c')",t_83,CHAR,true,-,-,sql.RawBytes
"t_84 SET ('a','b','c')",t_84,CHAR,true,-,-,sql.RawBytes
t_85 JSON,t_85,JSON,true,-,-,sql.RawBytes
t_86 BIT NOT NULL,t_86,BIT,false,-,-,sql.RawBytes
t_87 BIT (8) NOT NULL,t_87,BIT,false,-,-,sql.RawBytes
t_88 TINYINT NOT NULL,t_88,TINYINT,false,-,-,int8
t_89 TINYINT UNSIGNED NOT NULL,t_89,TINYINT,false,-,-,uint8
t_90 BOOL NOT NULL,t_90,TINYINT,false,-,-,int8
t_91 BOOLEAN NOT NULL,t_91,TINYINT,false,-,-,int8
t_92 SMALLINT NOT NULL,t_92,SMALLINT,false,-,-,int16
t_93 SMALLINT UNSIGNED NOT NULL,t_93,SMALLINT,false,-,-,uint16
t_94 MEDIUMINT NOT NULL,t_94,MEDIUMINT,false,-,-,int32
t_95 MEDIUMINT UNSIGNED NOT NULL,t_95,MEDIUMINT,false,-,-,uint32
t_96 INT NOT NULL,t_96,INT,false,-,-,int32
t_97 INT UNSIGNED NOT NULL,t_97,INT,false,-,-,uint32
t_98 INTEGER NOT NULL,t_98,INT,false,-,-,int32
t_99 INTEGER UNSIGNED NOT NULL,t_99,INT,false,-,-,uint32
t_100 BIGINT NOT NULL,t_100,BIGINT,false,-,-,int64
t_101 BIGINT UNSIGNED NOT NULL,t_101,BIGINT,false,-,-,uint64
t_102 DECIMAL NOT NULL,t_102,DECIMAL,false,"(10,0)",-,sql.RawBytes
t_103 DECIMAL UNSIGNED NOT NULL,t_103,DECIMAL,false,"(9,0)",-,sql.RawBytes
"t_104 DECIMAL (8,4) NOT NULL",t_104,DECIMAL,false,"(8,4)",-,sql.RawBytes
"t_105 DECIMAL (8,4) UNSIGNED NOT NULL",t_105,DECIMAL,false,"(7,4)",-,sql.RawBytes
t_106 DEC NOT NULL,t_106,DECIMAL,false,"(10,0)",-,sql.RawBytes
t_107 DEC UNSIGNED NOT NULL,t_107,DECIMAL,false,"(9,0)",-,sql.RawBytes
"t_108 DEC (8,4) NOT NULL",t_108,DECIMAL,false,"(8,4)",-,sql.RawBytes
"t_109 DEC (8,4) UNSIGNED NOT NULL",t_109,DECIMAL,false,"(7,4)",-,sql.RawBytes
t_110 NUMERIC NOT NULL,t_110,DECIMAL,false,"(10,0)",-,sql.RawBytes
t_111 NUMERIC UNSIGNED NOT NULL,t_111,DECIMAL,false,"(9,0)",-,sql.RawBytes
"t_112 NUMERIC (8,4) NOT NULL",t_112,DECIMAL,false,"(8,4)",-,sql.RawBytes
"t_113 NUMERIC (8,4) UNSIGNED NOT NULL",t_113,DECIMAL,false,"(7,4)",-,sql.RawBytes
t_114 FIXED NOT NULL,t_114,DECIMAL,false,"(10,0)",-,sql.RawBytes
t_115 FIXED UNSIGNED NOT NULL,t_115,DECIMAL,false,"(9,0)",-,sql.RawBytes
"t_116 FIXED (8,4) NOT NULL",t_116,DECIMAL,false,"(8,4)",-,sql.RawBytes
"t_117 FIXED (8,4) UNSIGNED NOT NULL",t_117,DECIMAL,false,"(7,4)",-,sql.RawBytes
t_118 FLOAT NOT NULL,t_118,FLOAT,false,"(MaxInt64,MaxInt64)",-,float32
"t_119 FLOAT (5,2) NOT NULL",t_119,FLOAT,false,"(MaxInt64,2)",-,float32
"t_120 FLOAT (100,30) NOT NULL",t_120,FLOAT,false,"(MaxInt64,30)",-,float32
t_121 FLOAT UNSIGNED NOT NULL,t_121,FLOAT,false,"(MaxInt64,MaxInt64)",-,float32
"t_122 FLOAT (5,2) UNSIGNED NOT NULL",t_122,FLOAT,false,"(MaxInt64,2)",-,float32
"t_123 FLOAT (100,30) UNSIGNED NOT NULL",t_123,FLOAT,false,"(MaxInt64,30)",-,float32
t_124 DOUBLE NOT NULL,t_124,DOUBLE,false,"(MaxInt64,MaxInt64)",-,float64
"t_125 DOUBLE (5,2) NOT NULL",t_125,DOUBLE,false,"(MaxInt64,2)",-,float64
"t_126 DOUBLE (100,30) NOT NULL",t_126,DOUBLE,false,"(MaxInt64,30)",-,float64
t_127 DOUBLE UNSIGNED NOT NULL,t_127,DOUBLE,false,"(MaxInt64,MaxInt64)",-,float64
"t_128 DOUBLE (5,2) UNSIGNED NOT NULL",t_128,DOUBLE,false,"(MaxInt64,2)",-,float64
"t_129 DOUBLE (100,30) UNSIGNED NOT NULL",t_129,DOUBLE,false,"(MaxInt64,30)",-,float64
t_130 DOUBLE PRECISION NOT NULL,t_130,DOUBLE,false,"(MaxInt64,MaxInt64)",-,float64
"t_131 DOUBLE PRECISION (5,2) NOT NULL",t_131,DOUBLE,false,"(MaxInt64,2)",-,float64
"t_132 DOUBLE PRECISION (100,30) NOT NULL",t_132,DOUBLE,false,"(MaxInt64,30)",-,float64
t_133 DOUBLE PRECISION UNSIGNED NOT NULL,t_133,DOUBLE,false,"(MaxInt64,MaxInt64)",-,float64
"t_134 DOUBLE PRECISION (5,2) UNSIGNED NOT NULL",t_134,DOUBLE,false,"(MaxInt64,2)",-,float64
"t_135 DOUBLE PRECISION (100,30) UNSIGNED NOT NULL",t_135,DOUBLE,false,"(MaxInt64,30)",-,float64
t_136 REAL NOT NULL,t_136,DOUBLE,false,"(MaxInt64,MaxInt64)",-,float64
"t_137 REAL (5,2) NOT NULL",t_137,DOUBLE,false,"(MaxInt64,2)",-,float64
"t_138 REAL (100,30) NOT NULL",t_138,DOUBLE,false,"(MaxInt64,30)",-,float64
t_139 REAL UNSIGNED NOT NULL,t_139,DOUBLE,false,"(MaxInt64,MaxInt64)",-,float64
"t_140 REAL (5,2) UNSIGNED NOT NULL",t_140,DOUBLE,false,"(MaxInt64,2)",-,float64
"t_141 REAL (100,30) UNSIGNED NOT NULL",t_141,DOUBLE,false,"(MaxInt64,30)",-,float64
t_142 FLOAT (10) NOT NULL,t_142,FLOAT,false,"(MaxInt64,MaxInt64)",-,float32
t_143 FLOAT (30) NOT NULL,t_143,DOUBLE,false,"(MaxInt64,MaxInt64)",-,float64
t_144 FLOAT (10) UNSIGNED NOT NULL,t_144,FLOAT,false,"(MaxInt64,MaxInt64)",-,float32
t_145 FLOAT (30) UNSIGNED NOT NULL,t_145,DOUBLE,false,"(MaxInt64,MaxInt64)",-,float64
t_146 DATE NOT NULL,t_146,DATE,false,-,-,mysql.NullTime
t_147 DATETIME NOT NULL,t_147,DATETIME,false,"(0,0)",-,mysql.NullTime
t_148 TIME NOT NULL,t_148,TIME,false,"(0,0)",-,sql.RawBytes
t_149 YEAR NOT NULL,t_149,YEAR,false,-,-,uint16
t_150 YEAR (4) NOT NULL,t_150,YEAR,false,-,-,uint16
t_151 CHAR NOT NULL,t_151,CHAR,false,-,-,sql.RawBytes
t_152 CHAR (8) NOT NULL,t_152,CHAR,false,-,-,sql.RawBytes
t_153 VARCHAR (8) NOT NULL,t_153,VARCHAR,false,-,-,sql.RawBytes
t_154 BINARY NOT NULL,t_154,BINARY,false,-,-,sql.RawBytes
t_155 BINARY (8) NOT NULL,t_155,BINARY,false,-,-,sql.RawBytes
t_156 VARBINARY (8) NOT NULL,t_156,VARBINARY,false,-,-,sql.RawBytes
t_157 TINYBLOB NOT NULL,t_157,BLOB,false,-,-,sql.RawBytes
t_158 BLOB NOT NULL,t_158,BLOB,false,-,-,sql.RawBytes
t_159 BLOB (8) NOT NULL,t_159,BLOB,false,-,-,sql.RawBytes
t_160 MEDIUMBLOB NOT NULL,t_160,BLOB,false,-,-,sql.RawBytes
t_161 LONGBLOB NOT NULL,t_161,BLOB,false,-,-,sql.RawBytes
t_162 TINYTEXT NOT NULL,t_162,TEXT,false,-,-,sql.RawBytes
t_163 TEXT NOT NULL,t_163,TEXT,false,-,-,sql.RawBytes
t_164 TEXT (8) NOT NULL,t_164,TEXT,false,-,-,sql.RawBytes
t_165 MEDIUMTEXT NOT NULL,t_165,TEXT,false,-,-,sql.RawBytes
t_166 LONGTEXT NOT NULL,t_166,TEXT,false,-,-,sql.RawBytes
t_167 LONG NOT NULL,t_167,TEXT,false,-,-,sql.RawBytes
t_168 LONG VARCHAR NOT NULL,t_168,TEXT,false,-,-,sql.RawBytes
"t_169 ENUM ('a','b','c') NOT NULL",t_169,CHAR,false,-,-,sql.RawBytes
"t_170 SET ('a','b','c') NOT NULL",t_170,CHAR,false,-,-,sql.RawBytes
t_171 JSON NOT NULL,t_171,JSON,false,-,-,sql.RawBytes
